epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
5 (0.6014776625993009, 0.8384) (0.5901794064607186, 0.8345)
10 (0.622745512303358, 0.8601) (0.6193099485320058, 0.8528)
15 (0.637274294151615, 0.8694) (0.6290787055019361, 0.8617)
20 (0.631858850528225, 0.8603) (0.623664499899241, 0.8569)
25 (0.6439002424761195, 0.8688) (0.6329652896293182, 0.8595)
30 (0.640472274277312, 0.867) (0.6406683009492982, 0.8674)
35 (0.6468688064083679, 0.8674) (0.6357917293214742, 0.8602)
40 (0.6463062175229929, 0.8738) (0.6397542768330019, 0.866)
45 (0.6510399279085952, 0.8727) (0.6399221666235276, 0.8624)
50 (0.6525609362435351, 0.8693) (0.6336935784350493, 0.8581)
